Citation,Parent Statute,Source,Chapter,Document Type,File,url (from File),PDF (from File),Date Last Updated (from File),Date Originally Published (from File),Entity Empowered,Triggering Event,Describe Health Emergency,Location,Military Involvement (Federal),Preliminary Screening,Funding Stream Description,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Funding Stream?,Waiver Authority,Plans & Strategies,State Trigger,Document Description,Note,Powers Invoked
42 U.S.C. 4001 et seq,The National Flood Insurance Act,FEMA DOLR,2,Legislation,The National Flood Insurance Act,https://www.fema.gov/sites/default/files/2020-07/national-flood-insurance-act-1968.pdf,national-flood-insurance-act-1968.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/K4OqmL_aQO_q6DnBtB-DJg/8ksu2_q8MUCHn_Y3OFvHK7gw7DUXwCl4Vi4kGk3meunuWkICDdwdk0yyoN7hU6Mlgm8bj2LLyntiYm-r9QsBxUMbT8ehdCmfcVORIwqCG4Rrw5mEX05TJCjdefhsJuA1FjO6Tc1kVxeGTrg3jxOc5TSgI4X-5yeVeJcxrOdHHuCd2pW7VMOHGQDkboQUQvcF/Ni9SRmTj4E6O4i8O_3NG-D4XRD6H-BdwgqhUYHaUsb8),,8/1/68,"Congress,Federal Emergency Management Agency - National Flood Insurance Program",No triggering event - Capacity Building,N/A,Domestic,No,Exclude,,,,,,,No,"The National Flood Insurance Act of 1968 established the National Flood Insurance Program (NFIP) to provide flood insurance coverage for residential properties in the United States. The Act aims to reduce flood risks by requiring participating communities to adopt floodplain management standards, while also transferring some financial risk from property owners to the federal government through subsidized flood insurance policies",,General Rules and Regulations
50 U.S.C. § 4501 et seq,Defense Production Act of 1950,FEMA DOLR,2,Legislation,Defense Production Act of 1950,https://www.fema.gov/sites/default/files/2020-03/Defense_Production_Act_2018.pdf,Defense_Production_Act_2018.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/PCK5algw77cIJ6f22psTPA/3g6i29Kh-OBswcMQueMeXC7yROueksHAoWp0fT9ZM_UnafOBHieggumoY5E_L6ar1Ic8oEINQmBoPukDXvF6acZKkNhZH0GttcZamuDUnyCKiiJkRpSGMT46jVQ78tZxXwHyDTu0hHdNu6Jp08n3ssYFekyPyIsXhOmlE3lKXgzsiYeiT9XU9qNuLDEKjkFS/rB47hSxKNevb5Uo5qX1xW80xz4CJnt9gnYFGVsu9RcQ),8/13/18,9/8/50,Executive Office of the President of the United States,"Act of War,Health Emergency,Natural Disaster,No triggering event - Capacity Building","""In support of national defense, HHS leverages Defense Production Act (DPA) authorities to build a robust and resilient public health supply chain capable of responding to emergency public health threats. These authorities can be used across the federal government to ensure that the domestic industrial base can provide essential materials and goods necessary and appropriate for the national defense."" (https://aspr.hhs.gov/legal/DPA/Pages/default.aspx)",Domestic,No,Include,,,,,,,No,"The Defense Production Act (DPA) authorizes the President to direct private industries to prioritize and expedite the production of materials and goods essential for national defense. It was triggered by the Korean War (1950) and can be activated during various emergencies. The main stakeholders include the President, federal agencies, and private industry.",,"Strategic National Stockpile,Provision of Supplies"
42 U.S.C. § 5156,Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,Executive Office of the President of the United States,No triggering event - Capacity Building,No emergency required - routine and part of disaster preparation ,,,,,,,,,,,,,
",Domestic,Yes - Subject to Posse Comitatus,Include,,,Scenario 1",Scenario 3a,Scenario 2,Scenario 3b,"Scenario 3c""",No,No,,Not applicable,Requires comprehensive standards to assess the efficiency and effectiveness of Federal major disaster and emergency assistance programs annually.,unsure about powers invoked,,,,,,,,,,,,,,,
",Response Assessment",,,,,,,,,,,,,,,,,,,,,,,,,
42 U.S.C. § 5170a(1),Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,Executive Office of the President of the United States,Presidential Major Disaster Declaration,Major disaster,Domestic,Yes - Subject to Posse Comitatus,Include,Reimbursement to relevant agencies is allowable but not required,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Yes,No,,Yes,President may direct any federal agency with or without reimbursement to use its authorities and resources ISO state and local assistance efforts,,Mission Assignment/Response Coordination
42 U.S.C. § 5170(a),Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,Executive Office of the President of the United States,"Natural Disaster,Health Emergency,Act of War,Terrorism","Disaster must be one of ""such severity and magnitude that effective response is beyond the capabilities of the State and the affected local governments and that Federal assistance is necessary""",Domestic,Yes - Subject to Posse Comitatus,Include,,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",No,Yes,,Yes,"Defines major disaster as one of ""such severity and magnitude that effective response is beyond the capabilities of the State and the affected local governments and that Federal assistance is necessary.""",,Emergency Declaration
42 U.S.C. § 5170(b)-(c),Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,Executive Office of the President of the United States,"Natural Disaster,Health Emergency,Act of War,Terrorism","Disaster must be one of ""such severity and magnitude that effective response is beyond the capabilities of the State and the affected local governments and that Federal assistance is necessary""",Domestic,Unclear,Include,Disaster relief and reimbursement to federal agencies both allowable,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Yes,Yes,,Indian Tribal Government trigger,Allows Chief Executive of affected Indian tribal government to make request for major disaster designation and outlines cost-share adjustments,,Emergency Declaration
42 U.S.C. § 5170a(2),Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,Executive Office of the President of the United States,Presidential Major Disaster Declaration,Major disaster,Domestic,Yes - Subject to Posse Comitatus,Include,Disaster relief and reimbursement to federal agencies both allowable (but not required) ,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Yes,Yes,,Yes,"Allows President to coordinate disaster relief provided by Federal agencies, private organizations, State, and local governments, including precautionary evacuations and recovery ",,"Mission Assignment/Response Coordination,Financial Assistance to states or Tribal Nations,Appropriations - Emergency Response,Provision of Medical Care,Provision of Supplies"
42 U.S.C. § 5170a(3),Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,Executive Office of the President of the United States,Presidential Major Disaster Declaration,Major disaster,Domestic,Yes - Subject to Posse Comitatus,Include,,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Yes,No,,Yes,"Allows President to provide technical and advisory assistance to State and local governments on many topics, including the provision of health and safety measures and the management and control of public health threats",,"Strategies and General Preparedness Efforts,Federal-State Coordination"
42 U.S.C. § 5174(e)(1),Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,Executive Office of the President of the United States,Presidential Major Disaster Declaration,"Major disaster - likely excludes health, though",Domestic,Yes - Subject to Posse Comitatus,Include,Personal assistance grants,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Yes,No,,Yes,Authorizes president to provide financial assistance to individuals or households for disaster-related medical and dental expenses,,Financial Assistance to states or Tribal Nations
42 U.S.C. § 5158,Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,Executive Office of the President of the United States,Presidential Major Disaster Declaration,Major disaster declaration,Domestic,Yes - Subject to Posse Comitatus,Include,Authorizes the provision of construction materials for 180 days,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Yes,No,,Yes,Authorizes President to provide construction materials to area affected by major disaster on an emergency basis; and to ensure fair distribution of said materials,,Provision of Supplies
46 U.S.C. § 8103,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Executive Office of the President of the United States,"Natural Disaster,Act of War,Terrorism,Presidential Emergency Declarations",N/A,Domestic,Yes - Subject to Posse Comitatus,,,,,,,,No,The President can waive citizenship requirements for officers and seamen on U.S. documented vessels during a national emergency.,,
,,,,,,,,,,,,,,,,,,,,,,,,,
",,",,,,,,,,,,,,,,,,,,,,,,,,,
50 U.S.C. § 1701,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Executive Office of the President of the United States,NEA Emergency Declaration,There must be a threat to U.S. national security caused by a declared national emergency. ,Both,Yes - Subject to Posse Comitatus,,Allows for modifications to appropriations rules in times of national emergency.,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Yes,Yes,,Not applicable,"The President can use the powers under the International Emergency Economic Powers Act (IEEPA) to address any major threat from outside the U.S. to national security, foreign policy, or the economy if a national emergency is declared.",,
,,,,,,,,,,,,,,,,,,,,,,,,,
",,Waiver","Government Contracts""",,,,,,,,,,,,,,,,,,,,,,,,
10 U.S.C. §§ 251–255,Insurrection Act,,,Legislation,10 U.S.C. ,https://www.govinfo.gov/content/pkg/USCODE-2011-title10/pdf/USCODE-2011-title10.pdf,USCODE-2011-title10.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/TXKD2iQIXoRBPpOsa959eg/9KNX7m-7Ict93hR-hbziPVviawMa4IeDmzGERUz-kz3hiZpFPJPWjlP8cIW7dCi-i-J0zbDw7UrWpx0PDGNsIKEvAGZ2Ctwsj9TrsBjdHUvizQcT-rH5qQULiWkMm9_xnVzW1bd6IX2_Ec6deXjNEU-HCBBoEky9ifal2dHCtTY/5bas0gjnrjYe-7IQJrA-u9U7bi0MLAnZwJ1tQXNZXPI),12/23/16,3/3/1807,Executive Office of the President of the United States,Insurrection,"Requires insurrection, obstruction, or unlawful interference with federal laws.",Domestic,Yes,Include,,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",No,No,,Not applicable,"Provides federal aid for state governments in cases of insurrection; allows the President to use the Armed Forces against ""unlawful obstructions"" and/or interferences with federal and state law; and allows the President to give proclamations to disperse. Includes Guam and the Virgin Islands as ""states""",,"""Troop or Uniformed Service or National Guard Deployment"",Financial Assistance to states or Tribal Nations,Executive Power(s) over states"
42 U.S.C. § 1533,Stafford Act ,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,"Federal Emergency Management Agency,Executive Office of the President of the United States","No triggering event - Capacity Building,Presidential Major Disaster Declaration","Needs a Presidential ""major disaster declaration"" in the previous 7 years (no current emergency required)",Domestic,Yes - Subject to Posse Comitatus,Include,"$575,000 grants to local governments to provide technical assistance and financial assistance for pre disaster hazard mitigation programs",,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Yes,No,,Yes,"Allows the President to establish ""pre disaster hazard mitigation"" programs for local and state governments","Unclear which agencies administer this (probably FEMA, but need to check the CFR)",
",State plan requirement","Federal-State Coordination""",,,,,,,,,,,,,,,,,,,,,,,,
42 U.S.C. § 5144,Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,"Federal Emergency Management Agency,Executive Office of the President of the United States","Presidential Major Disaster Declaration,Presidential Emergency Declarations",Major disaster or emergency,Domestic,Yes - Subject to Posse Comitatus,Include,"Provides federal agency support ""on either a reimbursable or non reimbursable basis""",,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Yes,No,,Yes,Requires President to form emergency support teams of federal personnel to be deployed in area affected by major disaster or emergency,,"Movement of Medical Personnel,""Troop or Uniformed Service or National Guard Deployment"""
42 U.S.C. § 5152,Stafford Act ,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,"Federal Emergency Management Agency,Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Major disaster or emergency,Domestic,Yes - Subject to Posse Comitatus,Include,May contract with and utilize relief organizations,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Yes,No,,Yes,"Enables President to utilize and coordinate, with their consent, with domestic recovery groups and disaster assistance organizations ",,"Federal-State Coordination,Mission Assignment/Response Coordination,Provision of Medical Care,Movement of Patients,Movement of Medical Personnel"
42 U.S.C. § 5162,Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,"Federal Emergency Management Agency,Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Major disaster or emergency,Domestic,Yes - Subject to Posse Comitatus,Include,Authorizes provision of temporary loans when states unable to assume financial responsibility under cost-sharing provisions,,"Scenario 2,Scenario 1,Scenario 3a,Scenario 3b,Scenario 3c",Yes,No,,Yes,Allows the President to lend or advance a State a portion of the assistance for which the State is responsible,,Financial Assistance to states or Tribal Nations
42 U.S.C. § 5165,Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,"Federal Emergency Management Agency,Executive Office of the President of the United States",No triggering event - Capacity Building,No emergency required - part of disaster preparedness,Domestic,Yes - Subject to Posse Comitatus,Include,"""Federal contributions under 5170c of this title may be used to fund the development and updating of mitigation plans under this section.""",,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Yes,No,,Not applicable,"POTUS may require state, local, or tribal governments to develop and submit for approval a mitigation plan as a condition of receiving increased federal funds",,State plan requirement
42 U.S.C. § 5165b,Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,"Federal Emergency Management Agency,Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration,No triggering event - Capacity Building",Major Disaster or emergency; part of disaster preparedness too,Domestic,Yes - Subject to Posse Comitatus,Include,"Allows recuperation of ""management costs"" according to a certain percentage. ",,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Yes,No,,Not applicable,Allows FEMA to reimburse specific management costs to relevant project and mitigation measures.,,Financial Assistance to states or Tribal Nations
42 U.S.C. § 5165d,Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,"Federal Emergency Management Agency,Executive Office of the President of the United States",No triggering event - Capacity Building,"This person participates in the disaster and emergency declaration processes, as well as assisting in preparation and disaster mitigation ",Domestic,Yes - Subject to Posse Comitatus,Include,,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",No,No,,Not applicable,President shall designate a Small State and Rural Advocate to ensure fair treatment during emergency declaration process and recovery,,General Rules and Regulations
42 U.S.C. § 5165f,Stafford Act,,,,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,"Federal Emergency Management Agency,Executive Office of the President of the United States",No triggering event - Capacity Building,It's unclear whether there's a triggering event or whether this happens all the time ,Domestic,Yes - Subject to Posse Comitatus,,,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",No,No,,,FEMA will administer a network of standardized search and rescue resources to assist states and local governments in responding to hazards,,"Federal-State Coordination,Mission Assignment/Response Coordination"
42 U.S.C. § 5164,Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,"Federal Emergency Management Agency,Executive Office of the President of the United States",No triggering event - Capacity Building,Part of disaster preparedness,Domestic,Yes - Subject to Posse Comitatus,Include,,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",No,No,,Not applicable,"President may create rules and regulations ""necessary and proper"" to carry out Act",,General Rules and Regulations
42 U.S.C. § 5193,Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,"Federal Emergency Management Agency,Executive Office of the President of the United States",Presidential Emergency Declarations,Presidential emergency declaration,Domestic,Yes - Subject to Posse Comitatus,Include,"$5 million per emergency, with 75% federal cost share",,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Yes,No,,Yes,"Federal share is 75%, and cap on single incident is $5,000,000 for single emergency",unsure about powers invoked,
",Appropriations - Emergency Response","Federal-State Coordination""",,,,,,,,,,,,,,,,,,,,,,,,
